weekday_number,weekday_name_id,hour_local,n_active_hcc,n_comments,n_community_actors,n_unique_videos,hcc_ids
1,Senin,0,2,3,3,3,5;52
1,Senin,1,0,0,0,0,
1,Senin,2,0,0,0,0,
1,Senin,3,0,0,0,0,
1,Senin,4,0,0,0,0,
1,Senin,5,1,4,4,1,43
1,Senin,6,1,7,7,1,17
1,Senin,7,3,13,13,3,52;112;150
1,Senin,8,2,7,7,2,52;183
1,Senin,9,0,0,0,0,
1,Senin,10,3,15,10,3,5;53;99
1,Senin,11,2,2,2,2,5;150
1,Senin,12,2,4,4,2,14;17
1,Senin,13,1,5,5,1,50
1,Senin,14,2,4,4,2,1;52
1,Senin,15,2,6,6,2,46;52
1,Senin,16,2,10,6,2,5;193
1,Senin,17,2,3,3,3,5;53
1,Senin,18,2,4,4,2,5;50
1,Senin,19,3,5,5,4,50;52;150
1,Senin,20,2,3,3,2,5;52
1,Senin,21,3,7,7,4,5;52;86
1,Senin,22,3,9,9,3,5;17;52
1,Senin,23,3,15,12,3,52;150;181
2,Selasa,0,0,0,0,0,
2,Selasa,1,0,0,0,0,
2,Selasa,2,1,1,1,1,150
2,Selasa,3,1,5,5,1,3
2,Selasa,4,1,6,4,1,193
2,Selasa,5,3,7,6,3,14;52;193
2,Selasa,6,2,7,7,2,5;48
2,Selasa,7,1,9,5,1,169
2,Selasa,8,2,5,5,2,62;204
2,Selasa,9,2,5,5,2,43;52
2,Selasa,10,3,10,10,6,52;130;150
2,Selasa,11,4,14,10,3,14;40;133;150
2,Selasa,12,3,3,3,3,5;34;52
2,Selasa,13,2,8,8,2,44;52
2,Selasa,14,4,6,5,6,5;52;53;150
2,Selasa,15,1,2,2,2,52
2,Selasa,16,3,6,6,3,52;53;86
2,Selasa,17,3,16,13,3,1;15;181
2,Selasa,18,2,7,7,1,15;17
2,Selasa,19,0,0,0,0,
2,Selasa,20,4,21,16,4,50;52;90;112
2,Selasa,21,2,3,3,3,52;150
2,Selasa,22,4,7,7,5,5;52;53;73
2,Selasa,23,2,7,7,2,18;52
3,Rabu,0,2,15,6,2,5;205
3,Rabu,1,0,0,0,0,
3,Rabu,2,0,0,0,0,
3,Rabu,3,0,0,0,0,
3,Rabu,4,0,0,0,0,
3,Rabu,5,0,0,0,0,
3,Rabu,6,1,1,1,1,52
3,Rabu,7,4,12,12,4,50;53;62;184
3,Rabu,8,3,11,11,3,2;43;52
3,Rabu,9,2,7,7,2,5;183
3,Rabu,10,2,2,2,2,52;150
3,Rabu,11,2,5,5,3,5;73
3,Rabu,12,2,11,7,3,5;206
3,Rabu,13,2,7,7,2,5;116
3,Rabu,14,3,6,6,3,5;62;74
3,Rabu,15,2,3,3,3,5;52
3,Rabu,16,3,3,3,3,5;52;133
3,Rabu,17,5,14,14,5,5;20;53;74;184
3,Rabu,18,1,1,1,1,53
3,Rabu,19,3,13,13,4,5;18;50
3,Rabu,20,3,4,4,4,5;53;150
3,Rabu,21,2,7,7,1,18;47
3,Rabu,22,4,10,10,4,52;53;90;130
3,Rabu,23,0,0,0,0,
4,Kamis,0,0,0,0,0,
4,Kamis,1,0,0,0,0,
4,Kamis,2,0,0,0,0,
4,Kamis,3,0,0,0,0,
4,Kamis,4,0,0,0,0,
4,Kamis,5,2,6,6,2,53;193
4,Kamis,6,3,3,3,3,5;34;52
4,Kamis,7,2,2,2,2,52;150
4,Kamis,8,6,19,19,4,1;2;17;52;58;130
4,Kamis,9,2,3,3,2,52;150
4,Kamis,10,3,3,3,3,52;53;58
4,Kamis,11,1,3,3,1,1
4,Kamis,12,2,2,2,2,5;53
4,Kamis,13,2,3,3,3,34;52
4,Kamis,14,2,2,2,2,53;133
4,Kamis,15,4,13,13,4,46;53;58;116
4,Kamis,16,6,31,26,6,1;5;16;86;112;113
4,Kamis,17,6,24,21,5,5;14;34;44;50;204
4,Kamis,18,1,1,1,1,52
4,Kamis,19,3,19,13,3,62;99;150
4,Kamis,20,3,10,10,3,3;34;74
4,Kamis,21,4,8,8,4,5;14;20;62
4,Kamis,22,2,5,5,2,17;43
4,Kamis,23,1,3,3,2,52
5,Jumat,0,1,1,1,1,52
5,Jumat,1,1,6,6,1,183
5,Jumat,2,0,0,0,0,
5,Jumat,3,0,0,0,0,
5,Jumat,4,1,1,1,1,5
5,Jumat,5,3,7,7,3,5;47;52
5,Jumat,6,1,1,1,1,5
5,Jumat,7,0,0,0,0,
5,Jumat,8,2,7,7,2,48;150
5,Jumat,9,1,1,1,1,150
5,Jumat,10,2,4,4,2,1;150
5,Jumat,11,0,0,0,0,
5,Jumat,12,6,25,20,7,16;46;47;73;133;150
5,Jumat,13,3,4,4,4,52;53;62
5,Jumat,14,0,0,0,0,
5,Jumat,15,3,8,8,3,20;53;90
5,Jumat,16,1,5,4,2,17
5,Jumat,17,3,3,3,3,5;53;150
5,Jumat,18,1,1,1,1,52
5,Jumat,19,1,11,6,1,113
5,Jumat,20,1,5,5,1,3
5,Jumat,21,3,6,6,3,52;62;86
5,Jumat,22,1,2,2,2,5
5,Jumat,23,1,1,1,1,53
6,Sabtu,0,2,2,2,2,52;53
6,Sabtu,1,0,0,0,0,
6,Sabtu,2,2,2,2,2,5;52
6,Sabtu,3,0,0,0,0,
6,Sabtu,4,0,0,0,0,
6,Sabtu,5,1,5,5,1,46
6,Sabtu,6,3,13,8,3,5;53;113
6,Sabtu,7,2,2,2,2,5;150
6,Sabtu,8,4,10,10,4,20;50;53;150
6,Sabtu,9,0,0,0,0,
6,Sabtu,10,2,11,9,2,17;40
6,Sabtu,11,6,19,18,7,5;20;40;43;44;52
6,Sabtu,12,3,4,4,4,5;52;150
6,Sabtu,13,2,2,2,2,5;52
6,Sabtu,14,1,1,1,1,150
6,Sabtu,15,4,7,7,3,5;52;86;150
6,Sabtu,16,2,7,7,3,50;150
6,Sabtu,17,6,14,14,6,2;5;43;53;133;150
6,Sabtu,18,3,7,7,3,5;40;62
6,Sabtu,19,0,0,0,0,
6,Sabtu,20,2,5,5,2,62;74
6,Sabtu,21,2,10,10,2,46;184
6,Sabtu,22,2,7,7,2,53;116
6,Sabtu,23,2,7,7,2,5;48
7,Minggu,0,0,0,0,0,
7,Minggu,1,2,2,2,2,58;133
7,Minggu,2,0,0,0,0,
7,Minggu,3,0,0,0,0,
7,Minggu,4,0,0,0,0,
7,Minggu,5,0,0,0,0,
7,Minggu,6,2,8,8,2,16;20
7,Minggu,7,0,0,0,0,
7,Minggu,8,4,13,9,5,5;52;53;205
7,Minggu,9,2,4,4,2,53;73
7,Minggu,10,3,8,8,4,1;5;20
7,Minggu,11,2,2,2,2,53;150
7,Minggu,12,2,2,2,2,52;53
7,Minggu,13,1,9,5,1,182
7,Minggu,14,1,1,1,1,150
7,Minggu,15,1,5,5,1,47
7,Minggu,16,0,0,0,0,
7,Minggu,17,2,4,4,2,20;34
7,Minggu,18,2,3,3,3,5;52
7,Minggu,19,1,6,6,1,15
7,Minggu,20,2,8,8,2,5;17
7,Minggu,21,2,2,2,2,5;52
7,Minggu,22,1,1,1,1,53
7,Minggu,23,1,1,1,1,52
