id,label,node_type,actor_type_primary,n_accounts,n_comments,goal_orientation,target_brand,hcc_id,edge_type,dominant_sentiment
IND_adilana.na,adilana.na,Individual Actor,Individual Actor,1,74.0,Neutral Engagement,Daviena/Davina,,,
IND_adiliarizqa,adiliarizqa,Individual Actor,Individual Actor,1,3.0,Neutral Engagement,Daviena/Davina,,,
IND_afikarrhnur,afikarrhnur,Individual Actor,Individual Actor,1,68.0,Neutral Engagement,Azarine,,,
IND_ansyashine,ansyashine,Individual Actor,Individual Actor,1,11.0,Neutral Engagement,Azarine,,,
IND_asabelavvv,asabelavvv,Individual Actor,Individual Actor,1,4.0,Promotional / Supportive,Azarine,,,
IND_cellynstore_,cellynstore_,Individual Actor,Individual Actor,1,121.0,Neutral Engagement,The Originote,,,
IND_daviena_dvn,daviena_dvn,Individual Actor,Individual Actor,1,0.0,Not Observed from Comments,Daviena/Davina,,,
IND_deswitatata2,deswitatata2,Individual Actor,Individual Actor,1,24.0,Neutral Engagement,Maryame,,,
IND_dewihanijayanti,dewihanijayanti,Individual Actor,Individual Actor,1,14.0,Mixed Goals,Maryame,,,
IND_dicannnns,dicannnns,Individual Actor,Individual Actor,1,188.0,Neutral Engagement,The Originote,,,
IND_dr.okypratamaa_kedua,dr.okypratamaa_kedua,Individual Actor,Individual Actor,1,0.0,Not Observed from Comments,Maryame,,,
IND_dww.srtk,dww.srtk,Individual Actor,Individual Actor,1,83.0,Neutral Engagement,The Originote,,,
IND_faniabsaa,faniabsaa,Individual Actor,Individual Actor,1,1.0,Insufficient Text,Daviena/Davina,,,
IND_fvajar_,fvajar_,Individual Actor,Individual Actor,1,35.0,Promotional / Supportive,Azarine,,,
IND_glowupyuk34,glowupyuk34,Individual Actor,Individual Actor,1,12.0,Neutral Engagement,The Originote,,,
IND_iketiaaa,iketiaaa,Individual Actor,Individual Actor,1,11.0,Promotional / Supportive,Daviena/Davina,,,
IND_irnaayu27,irnaayu27,Individual Actor,Individual Actor,1,9.0,Mixed Goals,Daviena/Davina,,,
IND_janeabys,janeabys,Individual Actor,Individual Actor,1,3.0,Promotional / Supportive,The Originote,,,
IND_jesyjeyn,jesyjeyn,Individual Actor,Individual Actor,1,17.0,Neutral Engagement,Daviena/Davina,,,
IND_juliadoang08,juliadoang08,Individual Actor,Individual Actor,1,17.0,Promotional / Supportive,Daviena/Davina,,,
IND_lookatmeeh__,lookatmeeh__,Individual Actor,Individual Actor,1,15.0,Neutral Engagement,The Originote,,,
IND_maharajasp8,maharajasp8,Individual Actor,Individual Actor,1,10.0,Promotional / Supportive,Daviena/Davina,,,
IND_maryame.official,maryame.official,Individual Actor,Individual Actor,1,52.0,Neutral Engagement,Maryame,,,
IND_mayhapid2,mayhapid2,Individual Actor,Individual Actor,1,2.0,Insufficient Text,Maryame,,,
IND_melvinahusyanti96,melvinahusyanti96,Individual Actor,Individual Actor,1,16.0,Promotional / Supportive,Daviena/Davina,,,
IND_mimiaudmua,mimiaudmua,Individual Actor,Individual Actor,1,127.0,Neutral Engagement,Maryame,,,
IND_mputrizahro,mputrizahro,Individual Actor,Individual Actor,1,16.0,Mixed Goals,Maryame,,,
IND_nabellaolivia,nabellaolivia,Individual Actor,Individual Actor,1,24.0,Neutral Engagement,Daviena/Davina,,,
IND_namicwn_,namicwn_,Individual Actor,Individual Actor,1,52.0,Neutral Engagement,The Originote,,,
IND_nooraabeautycreator,nooraabeautycreator,Individual Actor,Individual Actor,1,52.0,Neutral Engagement,Maryame,,,
IND_notforsheil,notforsheil,Individual Actor,Individual Actor,1,0.0,Not Observed from Comments,Maryame,,,
IND_orinagista13,orinagista13,Individual Actor,Individual Actor,1,18.0,Neutral Engagement,Daviena/Davina,,,
IND_racunwithdivani,racunwithdivani,Individual Actor,Individual Actor,1,4.0,Critical / Complaint,The Originote,,,
IND_rikut02,rikut02,Individual Actor,Individual Actor,1,62.0,Neutral Engagement,Maryame,,,
IND_skinby_sindy,skinby_sindy,Individual Actor,Individual Actor,1,67.0,Neutral Engagement,Azarine,,,
IND_skincarebyw,skincarebyw,Individual Actor,Individual Actor,1,6.0,Promotional / Supportive,Azarine,,,
IND_soufberry,soufberry,Individual Actor,Individual Actor,1,1.0,Insufficient Text,The Originote,,,
IND_susiyuliani30,susiyuliani30,Individual Actor,Individual Actor,1,33.0,Neutral Engagement,Maryame,,,
IND_theoriginote,theoriginote,Individual Actor,Individual Actor,1,19.0,Neutral Engagement,The Originote,,,
IND_thisisalulaa,thisisalulaa,Individual Actor,Individual Actor,1,40.0,Promotional / Supportive,Daviena/Davina,,,
IND_tiarach18,tiarach18,Individual Actor,Individual Actor,1,3.0,Promotional / Supportive,The Originote,,,
IND_vivianmarguerre,vivianmarguerre,Individual Actor,Individual Actor,1,62.0,Neutral Engagement,Azarine,,,
IND_yulyadew123,yulyadew123,Individual Actor,Individual Actor,1,8.0,Neutral Engagement,Daviena/Davina,,,
HCC_1,HCC 1,Community Actor,Community Actor,3,21.0,Mixed Goals,Mixed_3plus_Brands,,,
HCC_2,HCC 2,Community Actor,Community Actor,6,18.0,Mixed Goals,Maryame,,,
HCC_3,HCC 3,Community Actor,Community Actor,5,15.0,Neutral Engagement,Mixed_2_Brands,,,
HCC_5,HCC 5,Community Actor,Community Actor,8,64.0,Neutral Engagement,The Originote,,,
HCC_14,HCC 14,Community Actor,Community Actor,3,15.0,Mixed Goals,Mixed_3plus_Brands,,,
HCC_15,HCC 15,Community Actor,Community Actor,6,18.0,Neutral Engagement,The Originote,,,
HCC_16,HCC 16,Community Actor,Community Actor,5,15.0,Mixed Goals,Daviena,,,
HCC_17,HCC 17,Community Actor,Community Actor,11,44.0,Mixed Goals,Mixed_3plus_Brands,,,
HCC_18,HCC 18,Community Actor,Community Actor,6,18.0,Mixed Goals,The Originote,,,
HCC_20,HCC 20,Community Actor,Community Actor,3,24.0,Mixed Goals,Daviena,,,
HCC_34,HCC 34,Community Actor,Community Actor,3,12.0,Mixed Goals,Daviena,,,
HCC_42,HCC 42,Community Actor,Community Actor,5,23.0,Promotional / Supportive,Daviena,,,
HCC_45,HCC 45,Community Actor,Community Actor,4,24.0,Neutral Engagement,Mixed_3plus_Brands,,,
HCC_46,HCC 46,Community Actor,Community Actor,7,21.0,Neutral Engagement,The Originote,,,
HCC_48,HCC 48,Community Actor,Community Actor,5,30.0,Mixed Goals,Mixed_3plus_Brands,,,
HCC_49,HCC 49,Community Actor,Community Actor,6,20.0,Neutral Engagement,Mixed_3plus_Brands,,,
HCC_50,HCC 50,Community Actor,Community Actor,6,18.0,Mixed Goals,Maryame,,,
HCC_52,HCC 52,Community Actor,Community Actor,5,40.0,Mixed Goals,Daviena,,,
HCC_54,HCC 54,Community Actor,Community Actor,11,74.0,Mixed Goals,Azarine,,,
HCC_60,HCC 60,Community Actor,Community Actor,3,11.0,Mixed Goals,Daviena,,,
HCC_63,HCC 63,Community Actor,Community Actor,3,22.0,Mixed Goals,Mixed_3plus_Brands,,,
HCC_74,HCC 74,Community Actor,Community Actor,3,12.0,Mixed Goals,Daviena,,,
HCC_75,HCC 75,Community Actor,Community Actor,4,16.0,Mixed Goals,Mixed_2_Brands,,,
HCC_87,HCC 87,Community Actor,Community Actor,5,25.0,Mixed Goals,Mixed_2_Brands,,,
HCC_90,HCC 90,Community Actor,Community Actor,4,12.0,Neutral Engagement,Mixed_3plus_Brands,,,
HCC_99,HCC 99,Community Actor,Community Actor,6,28.0,Promotional / Supportive,The Originote,,,
HCC_103,HCC 103,Community Actor,Community Actor,5,30.0,Neutral Engagement,Daviena,,,
HCC_113,HCC 113,Community Actor,Community Actor,6,28.0,Promotional / Supportive,Maryame,,,
HCC_114,HCC 114,Community Actor,Community Actor,6,28.0,Promotional / Supportive,Maryame,,,
HCC_117,HCC 117,Community Actor,Community Actor,6,18.0,Neutral Engagement,The Originote,,,
HCC_132,HCC 132,Community Actor,Community Actor,4,12.0,Mixed Goals,Mixed_3plus_Brands,,,
HCC_134,HCC 134,Community Actor,Community Actor,3,15.0,Mixed Goals,Daviena,,,
HCC_150,HCC 150,Community Actor,Community Actor,6,48.0,Mixed Goals,Maryame,,,
HCC_168,HCC 168,Community Actor,Community Actor,5,23.0,Promotional / Supportive,Daviena,,,
HCC_180,HCC 180,Community Actor,Community Actor,4,18.0,Promotional / Supportive,Azarine,,,
HCC_181,HCC 181,Community Actor,Community Actor,5,23.0,Promotional / Supportive,Daviena,,,
HCC_182,HCC 182,Community Actor,Community Actor,6,18.0,Mixed Goals,Not identified,,,
HCC_183,HCC 183,Community Actor,Community Actor,7,21.0,Mixed Goals,The Originote,,,
HCC_191,HCC 191,Community Actor,Community Actor,5,23.0,Promotional / Supportive,The Originote,,,
HCC_204,HCC 204,Community Actor,Community Actor,4,18.0,Promotional / Supportive,Azarine,,,
HCC_205,HCC 205,Community Actor,Community Actor,5,23.0,Promotional / Supportive,The Originote,,,
HCC_206,HCC 206,Community Actor,Community Actor,5,23.0,Promotional / Supportive,Maryame,,,
MASS_HCC_103_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 103 Mixed,Mass Actor Segment,Mass Actor,134,346.0,Insufficient Text,,103,Ambiguous Community-Mass Association,Mixed
MASS_HCC_103_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 103 Negative,Mass Actor Segment,Mass Actor,237,304.0,Insufficient Text,,103,Ambiguous Community-Mass Association,Negative
MASS_HCC_103_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 103 Neutral,Mass Actor Segment,Mass Actor,953,1403.0,Insufficient Text,,103,Ambiguous Community-Mass Association,Neutral
MASS_HCC_103_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 103 Positive,Mass Actor Segment,Mass Actor,341,464.0,Insufficient Text,,103,Ambiguous Community-Mass Association,Positive
MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 103 Mixed,Mass Actor Segment,Mass Actor,5,12.0,Insufficient Text,Daviena,103,Observed Community-Mass Temporal Association,Mixed
MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 103 Negative,Mass Actor Segment,Mass Actor,10,15.0,Insufficient Text,Daviena,103,Observed Community-Mass Temporal Association,Negative
MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 103 Neutral,Mass Actor Segment,Mass Actor,36,51.0,Insufficient Text,Daviena,103,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 103 Positive,Mass Actor Segment,Mass Actor,14,20.0,Insufficient Text,Daviena,103,Observed Community-Mass Temporal Association,Positive
MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Mixed,Mass Verified Community-Mass Direct Interaction 103 Mixed,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,Daviena,103,Verified Community-Mass Direct Interaction,Mixed
MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Neutral,Mass Verified Community-Mass Direct Interaction 103 Neutral,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,Daviena,103,Verified Community-Mass Direct Interaction,Neutral
MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Positive,Mass Verified Community-Mass Direct Interaction 103 Positive,Mass Actor Segment,Mass Actor,2,4.0,Insufficient Text,Daviena,103,Verified Community-Mass Direct Interaction,Positive
MASS_HCC_113_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 113 Mixed,Mass Actor Segment,Mass Actor,75,215.0,Insufficient Text,,113,Ambiguous Community-Mass Association,Mixed
MASS_HCC_113_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 113 Negative,Mass Actor Segment,Mass Actor,202,278.0,Insufficient Text,,113,Ambiguous Community-Mass Association,Negative
MASS_HCC_113_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 113 Neutral,Mass Actor Segment,Mass Actor,377,651.0,Insufficient Text,,113,Ambiguous Community-Mass Association,Neutral
MASS_HCC_113_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 113 Positive,Mass Actor Segment,Mass Actor,184,268.0,Insufficient Text,,113,Ambiguous Community-Mass Association,Positive
MASS_HCC_113_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 113 Neutral,Mass Actor Segment,Mass Actor,3,4.0,Insufficient Text,Maryame,113,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_113_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 113 Positive,Mass Actor Segment,Mass Actor,1,6.0,Promotional / Supportive,Maryame,113,Observed Community-Mass Temporal Association,Positive
MASS_HCC_114_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 114 Mixed,Mass Actor Segment,Mass Actor,49,138.0,Insufficient Text,,114,Ambiguous Community-Mass Association,Mixed
MASS_HCC_114_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 114 Negative,Mass Actor Segment,Mass Actor,119,167.0,Insufficient Text,,114,Ambiguous Community-Mass Association,Negative
MASS_HCC_114_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 114 Neutral,Mass Actor Segment,Mass Actor,284,565.0,Insufficient Text,,114,Ambiguous Community-Mass Association,Neutral
MASS_HCC_114_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 114 Positive,Mass Actor Segment,Mass Actor,156,240.0,Insufficient Text,,114,Ambiguous Community-Mass Association,Positive
MASS_HCC_117_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 117 Mixed,Mass Actor Segment,Mass Actor,41,132.0,Insufficient Text,,117,Ambiguous Community-Mass Association,Mixed
MASS_HCC_117_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 117 Negative,Mass Actor Segment,Mass Actor,55,84.0,Insufficient Text,,117,Ambiguous Community-Mass Association,Negative
MASS_HCC_117_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 117 Neutral,Mass Actor Segment,Mass Actor,260,481.0,Insufficient Text,,117,Ambiguous Community-Mass Association,Neutral
MASS_HCC_117_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 117 Positive,Mass Actor Segment,Mass Actor,83,161.0,Insufficient Text,,117,Ambiguous Community-Mass Association,Positive
MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 117 Mixed,Mass Actor Segment,Mass Actor,1,3.0,Mixed Goals,The Originote,117,Observed Community-Mass Temporal Association,Mixed
MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 117 Neutral,Mass Actor Segment,Mass Actor,2,2.0,Insufficient Text,The Originote,117,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_117_Verified_Community_Mass_Direct_Interaction_Mixed,Mass Verified Community-Mass Direct Interaction 117 Mixed,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,The Originote,117,Verified Community-Mass Direct Interaction,Mixed
MASS_HCC_132_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 132 Mixed,Mass Actor Segment,Mass Actor,67,187.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Mixed
MASS_HCC_132_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 132 Negative,Mass Actor Segment,Mass Actor,82,114.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Negative
MASS_HCC_132_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 132 Neutral,Mass Actor Segment,Mass Actor,364,620.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Neutral
MASS_HCC_132_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 132 Positive,Mass Actor Segment,Mass Actor,104,148.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Positive
MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 132 Negative,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,Mixed_3plus_Brands,132,Observed Community-Mass Temporal Association,Negative
MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 132 Neutral,Mass Actor Segment,Mass Actor,3,13.0,Neutral Engagement,Mixed_3plus_Brands,132,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 132 Positive,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,Mixed_3plus_Brands,132,Observed Community-Mass Temporal Association,Positive
MASS_HCC_134_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 134 Mixed,Mass Actor Segment,Mass Actor,202,494.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Mixed
MASS_HCC_134_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 134 Negative,Mass Actor Segment,Mass Actor,743,865.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Negative
MASS_HCC_134_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 134 Neutral,Mass Actor Segment,Mass Actor,5696,6308.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Neutral
MASS_HCC_134_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 134 Positive,Mass Actor Segment,Mass Actor,1732,1891.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Positive
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 134 Mixed,Mass Actor Segment,Mass Actor,1,3.0,Mixed Goals,Daviena,134,Observed Community-Mass Temporal Association,Mixed
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 134 Negative,Mass Actor Segment,Mass Actor,2,2.0,Insufficient Text,Daviena,134,Observed Community-Mass Temporal Association,Negative
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 134 Neutral,Mass Actor Segment,Mass Actor,14,16.0,Insufficient Text,Daviena,134,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 134 Positive,Mass Actor Segment,Mass Actor,2,2.0,Insufficient Text,Daviena,134,Observed Community-Mass Temporal Association,Positive
MASS_HCC_14_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 14 Mixed,Mass Actor Segment,Mass Actor,308,707.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Mixed
MASS_HCC_14_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 14 Negative,Mass Actor Segment,Mass Actor,2589,2861.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Negative
MASS_HCC_14_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 14 Neutral,Mass Actor Segment,Mass Actor,5855,6379.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Neutral
MASS_HCC_14_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 14 Positive,Mass Actor Segment,Mass Actor,2502,2703.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Positive
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 14 Mixed,Mass Actor Segment,Mass Actor,2,4.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Mixed
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 14 Negative,Mass Actor Segment,Mass Actor,21,23.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Negative
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 14 Neutral,Mass Actor Segment,Mass Actor,57,59.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 14 Positive,Mass Actor Segment,Mass Actor,18,21.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Positive
